test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_scx_normal_rps_avg,quiet_scx_normal_rps_std,quiet_scx_normal_p99_ms_avg,quiet_scx_normal_p99_ms_std,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_scx_normal_rps_avg,noisy_scx_normal_rps_std,noisy_scx_normal_p99_ms_avg,noisy_scx_normal_p99_ms_std,noisy_scx_always_active_rps_avg,noisy_scx_always_active_rps_std,noisy_scx_always_active_p99_ms_avg,noisy_scx_always_active_p99_ms_std,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std
GET,31665.698,4267.835,0.407,0.074,31044.572,2467.118,0.381,0.032,34279.036,2519.269,0.409,0.016,37760.060,6375.035,0.394,0.076,37673.036,6219.857,0.335,0.093,31989.440,2375.896,0.482,0.045,36582.858,1998.340,0.415,0.039
INCR,30948.828,2152.621,0.409,0.046,32531.770,3801.160,0.372,0.052,34175.656,5868.217,0.476,0.044,35516.492,2386.830,0.410,0.048,39030.928,11576.416,0.335,0.085,33522.644,3060.965,0.417,0.040,33260.870,1261.209,0.405,0.048
PING_INLINE,31312.146,1957.931,0.381,0.050,33055.060,1765.035,0.354,0.040,33302.420,2067.409,0.413,0.026,33434.982,1548.049,0.396,0.113,35310.814,2644.283,0.401,0.047,36208.784,6451.061,0.407,0.094,33090.080,2725.703,0.357,0.066
SET,31917.696,2452.989,0.361,0.066,32231.074,2472.169,0.369,0.061,35003.902,1982.934,0.418,0.075,35605.082,9212.020,0.372,0.100,41941.040,9237.623,0.292,0.029,33002.556,2592.285,0.441,0.038,33203.678,3837.468,0.418,0.094
