test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,30303.03,0.337,0.679,1.439,3.199
SET,30534.35,0.344,0.687,1.271,4.175
GET,30959.75,0.330,0.639,1.271,4.183
INCR,30487.80,0.345,0.695,1.175,4.191
