test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,15455.95,0.824,2.751,4.055,6.439
SET,19398.64,0.627,3.775,4.167,7.127
GET,17108.64,0.729,2.335,4.127,6.175
INCR,16168.15,0.788,2.223,4.007,6.551
