test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_scx_normal_rps_avg,quiet_scx_normal_rps_std,quiet_scx_normal_p99_ms_avg,quiet_scx_normal_p99_ms_std,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_scx_normal_rps_avg,noisy_scx_normal_rps_std,noisy_scx_normal_p99_ms_avg,noisy_scx_normal_p99_ms_std,noisy_scx_always_active_rps_avg,noisy_scx_always_active_rps_std,noisy_scx_always_active_p99_ms_avg,noisy_scx_always_active_p99_ms_std,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std
GET,32138.143,3250.362,0.423,0.056,33504.493,2249.308,0.340,0.028,33825.370,3376.850,0.439,0.048,34500.467,3696.583,0.423,0.029,32060.277,3816.251,0.455,0.063,35182.250,803.873,0.418,0.012,33716.720,2097.839,0.418,0.020
INCR,32025.310,1883.224,0.396,0.060,34661.510,2682.790,0.343,0.058,33699.800,2344.695,0.383,0.056,32525.627,1056.062,0.423,0.032,33890.593,3996.474,0.431,0.016,36462.643,758.165,0.404,0.053,31622.650,704.511,0.495,0.100
PING_INLINE,32988.307,1689.075,0.351,0.024,34299.337,840.057,0.354,0.026,34094.450,4081.852,0.434,0.112,31408.093,1136.324,0.447,0.035,34145.773,2218.459,0.378,0.079,36121.330,5758.028,0.380,0.056,32968.543,273.089,0.495,0.112
SET,32430.657,4063.255,0.383,0.070,33137.727,2558.825,0.359,0.037,34226.567,981.654,0.394,0.012,33655.677,4172.300,0.412,0.060,36324.577,5085.898,0.372,0.109,34817.383,1692.028,0.370,0.028,35605.320,5708.191,0.420,0.053
