test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,2031.28,7.647,13.791,17.807,565.247
SET,8071.03,1.752,2.991,3.383,4.935
GET,7072.14,2.040,2.991,3.615,4.687
INCR,7745.93,1.833,2.983,3.287,4.935
