test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,31897.93,0.316,0.639,0.807,2.663
SET,35523.98,0.281,0.367,0.415,0.903
GET,37037.04,0.266,0.343,0.495,0.943
INCR,37105.75,0.266,0.343,0.407,1.151
