test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,14174.34,0.900,2.895,3.167,5.103
SET,11160.71,1.189,2.975,4.399,21.055
GET,16488.04,0.728,1.839,2.543,6.807
INCR,12012.01,1.079,2.751,3.775,6.159
