test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,19627.08,0.584,0.823,1.615,21.935
SET,19665.68,0.578,0.823,1.615,22.047
GET,18450.19,0.596,0.847,2.655,21.487
INCR,19011.41,0.606,0.863,1.671,21.519
