test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,32000.00,33333.33,50000.00,0.343,0.343,0.215
INCR,25806.45,34782.61,47058.82,0.375,0.287,0.263
SET,29629.63,32000.00,40000.00,0.319,0.375,0.287
PING_INLINE,30769.23,32000.00,32000.00,0.351,0.519,0.303
