test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,29629.63,53333.34,32000.00,0.407,0.167,0.303
INCR,30769.23,34782.61,47058.82,0.311,0.287,0.191
SET,29629.63,29629.63,32000.00,0.335,0.463,0.359
PING_INLINE,27586.21,33333.33,32000.00,0.415,0.319,0.319
