test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,15885.62,0.693,2.663,4.279,5.975
SET,18975.33,0.579,2.279,2.455,4.143
GET,19047.62,0.553,2.335,3.079,4.135
INCR,17985.61,0.588,2.375,3.015,4.335
