test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,19138.76,0.574,2.279,3.663,6.079
SET,19398.64,0.554,2.343,2.959,4.095
GET,24752.47,0.431,1.647,2.343,6.119
INCR,31298.90,0.329,0.647,1.407,6.127
