test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,30769.23,0.314,0.607,0.743,1.335
SET,5389.38,2.733,0.663,0.855,3000.319
GET,36764.70,0.257,0.335,0.447,1.423
INCR,36900.37,0.257,0.335,0.383,0.559
