test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,40733.20,0.248,0.431,0.559,0.935
SET,38986.36,0.262,0.503,0.767,1.423
GET,37950.66,0.275,0.527,0.759,1.223
INCR,33783.79,0.295,0.599,0.791,1.439
