test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,10346.61,1.207,4.263,5.663,8.319
SET,11668.61,1.137,3.647,4.799,7.767
GET,10136.85,1.298,3.887,5.279,8.943
INCR,10060.36,1.285,4.223,5.007,6.631
