test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,33613.45,0.288,0.559,0.727,1.327
SET,36630.04,0.269,0.359,0.415,1.159
GET,36429.87,0.266,0.351,0.407,0.727
INCR,36297.64,0.265,0.351,0.407,1.439
