test,default_noisy_rps_avg,default_noisy_p99_ms_avg,default_noisy_cpu_per_10k_requests_avg,default_noisy_cpu_busy_ratio_avg,default_noisy_nr_throttled_delta_avg,default_noisy_throttled_usec_delta_avg,agent_observe_only_rps_avg,agent_observe_only_p99_ms_avg,agent_observe_only_cpu_per_10k_requests_avg,agent_observe_only_cpu_busy_ratio_avg,agent_observe_only_nr_throttled_delta_avg,agent_observe_only_throttled_usec_delta_avg,manual_static_rps_avg,manual_static_p99_ms_avg,manual_static_cpu_per_10k_requests_avg,manual_static_cpu_busy_ratio_avg,manual_static_nr_throttled_delta_avg,manual_static_throttled_usec_delta_avg,agent_dynamic_rps_avg,agent_dynamic_p99_ms_avg,agent_dynamic_cpu_per_10k_requests_avg,agent_dynamic_cpu_busy_ratio_avg,agent_dynamic_nr_throttled_delta_avg,agent_dynamic_throttled_usec_delta_avg
GET,17797.730,4.053,666.050,0.972,0.000,0.000,16178.344,3.404,665.325,0.973,0.000,0.000,31547.462,1.031,432.000,0.865,205.200,37296357.800,31827.504,1.650,568.875,0.983,7.400,568656.800
INCR,17553.970,4.068,666.050,0.972,0.000,0.000,17528.170,4.012,665.325,0.973,0.000,0.000,31212.532,1.028,432.000,0.865,205.200,37296357.800,33298.576,1.321,568.875,0.983,7.400,568656.800
PING_INLINE,16377.318,3.661,666.050,0.972,0.000,0.000,17752.222,3.557,665.325,0.973,0.000,0.000,30287.282,1.125,432.000,0.865,205.200,37296357.800,16491.316,4.146,568.875,0.983,7.400,568656.800
SET,17087.256,3.772,666.050,0.972,0.000,0.000,17508.844,4.039,665.325,0.973,0.000,0.000,31572.380,0.887,432.000,0.865,205.200,37296357.800,17891.390,3.903,568.875,0.983,7.400,568656.800
