test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,17841.21,0.670,1.175,2.759,6.471
SET,24844.72,0.413,0.671,1.959,30.927
GET,32786.88,0.305,0.511,1.079,4.463
INCR,32310.18,0.313,0.479,1.055,16.007
