test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,18018.02,0.602,2.335,3.119,5.079
SET,18099.55,0.607,2.319,2.919,4.807
GET,18832.39,0.585,2.319,2.991,18.815
INCR,18467.22,0.617,2.287,2.895,19.935
