test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,18181.82,0.655,1.847,2.943,7.095
SET,4278.07,3.437,2.879,3.895,3000.319
GET,16460.90,0.748,2.839,3.111,5.015
INCR,11890.61,1.101,2.791,3.535,4.263
