label,cpu_max,get_rps,set_rps,get_ratio_vs_no_quota,set_ratio_vs_no_quota,background_usage_rate_usec_per_s,background_ratio_vs_no_quota,nr_throttled_delta,throttled_usec_delta,duration_ms
no_quota,max,43541.36,43165.47,1.0000,1.0000,4040242.17,1.0000,0,0,1437
quota_50,50000 100000,33975.09,42735.04,0.7803,0.9900,502285.54,0.1243,16,5496845,1618
quota_20,20000 100000,34013.61,34052.21,0.7812,0.7889,199392.34,0.0494,18,6829573,1802
quota_10,10000 100000,36674.82,42134.83,0.8423,0.9761,99533.25,0.0246,16,6228099,1564
quota_05,5000 100000,35928.14,31914.89,0.8251,0.7394,50209.42,0.0124,18,7081094,1805
