"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","42134.83","0.447","0.104","0.431","0.807","1.119","2.367"
"GET","36674.82","0.499","0.144","0.479","0.935","1.159","1.991"
