"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","43165.47","0.468","0.096","0.455","0.831","1.159","2.615"
"GET","43541.36","0.415","0.112","0.415","0.727","0.959","2.463"
