"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","34052.21","0.553","0.128","0.527","0.943","1.247","3.023"
"GET","34013.61","0.534","0.152","0.511","1.023","1.319","3.407"
