"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","42735.04","0.423","0.120","0.423","0.671","0.903","2.663"
"GET","33975.09","0.523","0.152","0.503","0.919","1.207","2.847"
