test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,32679.74,0.160,0.319,0.447,0.679
SET,42194.09,0.135,0.295,0.479,0.711
GET,32154.34,0.166,0.351,0.439,0.679
INCR,31545.74,0.177,0.375,0.487,0.839
