test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_default_cpu_busy_ratio_avg,quiet_default_cpu_per_10k_requests_avg,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_default_cpu_busy_ratio_avg,noisy_default_cpu_per_10k_requests_avg,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_cgroup_v2_cpu_busy_ratio_avg,noisy_cgroup_v2_cpu_per_10k_requests_avg,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std,noisy_scx_psi_cpu_busy_ratio_avg,noisy_scx_psi_cpu_per_10k_requests_avg
GET,36607.880,102.267,0.383,0.008,0.957,417.792,12319.077,2691.857,4.850,0.905,0.977,733.125,29105.007,5014.003,1.871,0.590,0.963,616.583,9143.727,1665.434,5.492,1.487,0.971,1759.917
INCR,35992.980,99.030,0.500,0.155,0.957,417.792,12724.317,4039.741,4.311,0.029,0.977,733.125,30620.287,4421.422,1.663,1.089,0.963,616.583,11459.587,3571.816,4.764,1.385,0.971,1759.917
PING_INLINE,31617.353,2498.037,1.028,0.394,0.957,417.792,13512.603,3531.829,4.412,1.506,0.977,733.125,11301.093,1952.495,5.522,1.048,0.963,616.583,3543.283,3101.755,9.332,1.010,0.971,1759.917
SET,36239.817,656.626,0.434,0.061,0.957,417.792,11482.840,1926.809,5.015,1.116,0.977,733.125,25792.750,8615.662,2.495,1.765,0.963,616.583,7884.523,227.402,12.234,9.250,0.971,1759.917
