t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,11996,12164
1889,3,3,6,6360,6360
3599,4,3,7,6460,6460
5067,4,3,7,6632,6632
6569,4,3,7,6900,6900
8087,4,3,7,7348,7348
