t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
3,2,2,4,10852,10912
1839,3,3,6,6304,6304
3386,4,3,7,6376,6376
5092,4,3,7,6684,6684
6551,4,3,7,6736,6736
