t_ms,utime_ticks,stime_ticks,total_ticks,rss_kb,vmrss_kb
2,2,1,3,13032,15080
1634,3,2,5,6304,6304
3362,3,2,5,6336,6336
5084,4,3,7,6628,6628
6818,4,3,7,6708,6708
