test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,33955.86,0.267,0.431,0.583,1.111
SET,38986.36,0.251,0.415,0.543,0.927
GET,38910.51,0.250,0.367,0.463,0.847
INCR,44150.11,0.230,0.383,0.703,1.639
