test,quiet_default_rps_avg,quiet_default_rps_std,quiet_default_p99_ms_avg,quiet_default_p99_ms_std,quiet_default_cpu_busy_ratio_avg,quiet_default_cpu_per_10k_requests_avg,noisy_default_rps_avg,noisy_default_rps_std,noisy_default_p99_ms_avg,noisy_default_p99_ms_std,noisy_default_cpu_busy_ratio_avg,noisy_default_cpu_per_10k_requests_avg,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_rps_std,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_p99_ms_std,noisy_cgroup_v2_cpu_busy_ratio_avg,noisy_cgroup_v2_cpu_per_10k_requests_avg,noisy_scx_psi_rps_avg,noisy_scx_psi_rps_std,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_p99_ms_std,noisy_scx_psi_cpu_busy_ratio_avg,noisy_scx_psi_cpu_per_10k_requests_avg
GET,35861.587,1463.344,0.418,0.024,0.958,419.625,16599.850,2617.364,3.260,0.391,0.975,660.708,31157.923,1563.179,2.276,0.298,0.977,588.167,10404.600,587.320,5.071,0.199,0.969,1528.708
INCR,35801.547,329.964,0.506,0.178,0.958,419.625,17787.070,1536.950,3.282,0.395,0.975,660.708,32413.927,2054.898,1.532,0.566,0.977,588.167,11080.307,1203.442,4.802,0.128,0.969,1528.708
PING_INLINE,30606.683,1816.161,0.986,0.407,0.958,419.625,17959.870,872.612,3.332,0.561,0.975,660.708,16208.210,1103.243,3.476,0.455,0.977,588.167,11198.870,888.701,5.202,0.280,0.969,1528.708
SET,35912.460,557.346,0.410,0.012,0.958,419.625,17667.323,1444.058,2.858,0.280,0.975,660.708,19095.673,720.587,3.055,0.060,0.977,588.167,10792.237,212.092,4.911,0.146,0.969,1528.708
