"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","39946.74","0.466","0.176","0.463","0.703","1.015","2.223"
"GET","39164.49","0.479","0.144","0.471","0.727","0.991","6.479"
