test,baseline_rps_avg,baseline_rps_min,baseline_rps_max,baseline_rps_std,default_noisy_rps_avg,default_noisy_rps_min,default_noisy_rps_max,default_noisy_rps_std,active_noisy_rps_avg,active_noisy_rps_min,active_noisy_rps_max,active_noisy_rps_std,baseline_p99_ms_avg,baseline_p99_ms_min,baseline_p99_ms_max,baseline_p99_ms_std,default_noisy_p99_ms_avg,default_noisy_p99_ms_min,default_noisy_p99_ms_max,default_noisy_p99_ms_std,active_noisy_p99_ms_avg,active_noisy_p99_ms_min,active_noisy_p99_ms_max,active_noisy_p99_ms_std
GET,34310.800,29806.260,36563.070,3901.046,47162.830,35778.180,55710.310,10264.483,36914.857,35906.640,37593.980,890.509,0.578,0.463,0.735,0.141,0.524,0.399,0.743,0.190,0.604,0.479,0.767,0.148
INCR,33246.030,32154.340,34904.010,1459.686,46911.640,33783.790,63091.480,14890.304,38795.750,35398.230,45146.730,5504.590,0.538,0.519,0.575,0.032,0.564,0.367,0.775,0.204,0.535,0.431,0.631,0.100
PING_INLINE,31727.023,27548.210,34188.040,3637.988,42340.060,35087.720,51282.050,8228.321,36809.590,35523.980,39062.500,1957.558,0.642,0.487,0.855,0.191,0.556,0.519,0.615,0.051,0.508,0.487,0.519,0.018
SET,34769.950,29069.770,38610.040,5034.793,39342.423,32733.220,43010.750,5735.283,34965.413,32102.730,36429.870,2479.378,0.562,0.431,0.751,0.168,0.658,0.583,0.791,0.116,0.567,0.519,0.623,0.052
