test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,15094.34,0.817,2.279,3.143,4.855
SET,16977.93,0.647,2.351,3.727,67.391
GET,5729.02,2.579,4.935,5.943,12.015
INCR,17226.53,0.659,2.303,2.967,4.703
