test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,32206.12,0.306,0.623,1.271,2.159
SET,36764.70,0.273,0.359,0.399,1.175
GET,36363.64,0.271,0.351,0.423,0.879
INCR,36297.64,0.271,0.351,0.431,1.607
