test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,30487.80,55710.31,37664.78,0.647,0.391,0.479
INCR,28776.98,38759.69,39920.16,0.639,0.591,0.463
SET,36166.37,42105.27,35273.37,0.519,0.575,0.527
PING_INLINE,30395.14,55096.42,35460.99,0.623,0.519,0.559
