test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,29515.94,0.312,0.463,0.599,1.015
SET,34281.80,0.276,0.447,0.583,1.247
GET,31938.68,0.292,0.423,0.607,1.295
INCR,31426.78,0.300,0.439,0.631,1.359
