test,baseline_rps_avg,baseline_rps_min,baseline_rps_max,baseline_rps_std,default_noisy_rps_avg,default_noisy_rps_min,default_noisy_rps_max,default_noisy_rps_std,active_noisy_rps_avg,active_noisy_rps_min,active_noisy_rps_max,active_noisy_rps_std,baseline_p99_ms_avg,baseline_p99_ms_min,baseline_p99_ms_max,baseline_p99_ms_std,default_noisy_p99_ms_avg,default_noisy_p99_ms_min,default_noisy_p99_ms_max,default_noisy_p99_ms_std,active_noisy_p99_ms_avg,active_noisy_p99_ms_min,active_noisy_p99_ms_max,active_noisy_p99_ms_std
GET,27777.780,27777.780,27777.780,0.000,37037.040,37037.040,37037.040,0.000,32258.060,32258.060,32258.060,0.000,0.399,0.399,0.399,0.000,0.271,0.271,0.271,0.000,0.247,0.247,0.247,0.000
INCR,29411.760,29411.760,29411.760,0.000,33333.340,33333.340,33333.340,0.000,43478.260,43478.260,43478.260,0.000,0.383,0.383,0.383,0.000,0.255,0.255,0.255,0.000,0.351,0.351,0.351,0.000
PING_INLINE,29411.760,29411.760,29411.760,0.000,31250.000,31250.000,31250.000,0.000,32258.060,32258.060,32258.060,0.000,0.303,0.303,0.303,0.000,0.263,0.263,0.263,0.000,0.335,0.335,0.335,0.000
SET,33333.340,33333.340,33333.340,0.000,34482.760,34482.760,34482.760,0.000,34482.760,34482.760,34482.760,0.000,0.399,0.399,0.399,0.000,0.247,0.247,0.247,0.000,0.271,0.271,0.271,0.000
