"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","36452.00","0.517","0.152","0.487","0.943","1.263","4.951"
"GET","44843.05","0.419","0.144","0.415","0.695","1.111","4.615"
