"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","37641.16","0.553","0.128","0.495","1.159","1.423","2.703"
"GET","36809.82","0.492","0.088","0.495","0.767","1.087","1.847"
