test,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms
PING_INLINE,4485.91,1.269,0.599,0.783,3000.319
SET,37064.49,0.267,0.343,0.391,2.943
GET,36927.62,0.265,0.343,0.391,3.111
INCR,36630.04,0.266,0.343,0.391,2.607
