test,baseline_rps,default_noisy_rps,active_noisy_rps,baseline_p99_ms,default_noisy_p99_ms,active_noisy_p99_ms
GET,29411.77,32608.70,34090.91,0.471,0.319,0.287
INCR,31250.00,32608.70,34883.72,0.311,0.407,0.295
SET,31914.89,22388.06,34883.72,0.295,0.383,0.271
PING_INLINE,22058.82,34090.91,34090.91,0.463,0.287,0.263
